"OverallQual","YearBuilt","TotalBsmtSF","X1stFlrSF","GrLivArea","TotRmsAbvGrd","GarageYrBlt","GarageCars","GarageArea","SalePrice"
7,2004,600,6.39859493453521,7.09090982207998,4,2004,2,480,NA
6,2005,600,6.39859493453521,7.12044437239249,4,2005,2,480,NA
6,2000,756,6.62936325343745,7.32184971378836,5,2000,2,440,NA
7,2003,530,6.27476202124194,6.98564181763921,4,2003,2,496,NA
8,2010,1642,7.25770767716004,7.25770767716004,6,2010,3,852,NA
8,2000,975,6.88346258641309,7.52240023138712,7,2000,2,592,NA
7,2002,1492,7.30854279753919,7.30854279753919,6,2002,2,596,NA
6,1967,1829,7.51207124583547,7.51207124583547,8,1967,2,535,NA
6,1993,1280,7.15539630189673,7.82244472948932,9,1993,2,660,NA
6,1978,1224,7.1608459066643,7.54538974961182,7,1978,2,678,NA
6,1971,715,6.83625927727707,7.40610338123702,7,1971,2,441,NA
5,1966,1232,7.11720550316434,7.11720550316434,6,1966,2,490,NA
5,1966,1209,7.09837563859079,7.09837563859079,6,1966,2,504,NA
5,1967,1510,7.32052696227274,7.32052696227274,6,1967,2,517,NA
6,1964,533,7.03174125876313,7.48211892355212,8,1964,2,480,NA
5,1962,1728,7.45529848568329,7.45529848568329,10,0,0,0,NA
5,1952,1140,7.56527528189893,7.8087293067444,7,1994,2,400,NA
6,1949,782,6.92755790627832,7.350516171834,6,1949,2,470,NA
6,1966,1080,7.02908756414966,7.02908756414966,5,1966,1,315,NA
5,1958,1604,7.38087903556412,7.38087903556412,8,1958,2,576,NA
7,2003,1480,7.3004728142678,7.3004728142678,7,2003,2,620,NA
5,1959,1143,7.04228617193974,7.04228617193974,6,1959,1,308,NA
5,1959,1206,7.09589322109753,7.09589322109753,6,1959,1,312,NA
6,1959,1244,7.36581283720947,7.36581283720947,6,1956,2,440,NA
4,1956,832,6.72503364216684,7.19893124068817,5,1956,1,263,NA
5,1952,864,6.97073007814353,6.97073007814353,4,1952,1,318,NA
5,1955,972,6.880384082186,6.880384082186,5,1955,1,305,NA
5,1958,988,6.89669433162271,6.89669433162271,5,1958,1,264,NA
4,1920,576,6.89365635460264,6.89365635460264,4,1989,2,676,NA
6,1948,816,6.70563909486,7.11069612297883,5,1950,1,280,NA
5,1960,1175,7.06987412845857,7.06987412845857,6,1960,2,484,NA
6,1963,1395,7.24136628332232,7.24136628332232,7,1963,2,440,NA
4,1900,709,7.05444965813294,7.52023455647463,9,1900,1,240,NA
5,1920,936,6.84268328223842,6.84268328223842,5,0,0,0,NA
5,1957,1347,7.20637729147225,7.20637729147225,6,1957,2,551,NA
6,1938,827,6.71901315438526,7.13249755166004,6,1938,1,240,NA
5,1948,1027,6.93537044601511,7.39878627541995,7,1948,1,240,NA
5,1920,1008,6.96696713861398,7.1276936993474,6,1962,1,315,NA
2,1923,678,6.72503364216684,6.72503364216684,5,1928,2,780,NA
8,1900,930,6.83625927727707,7.35691824235602,7,1930,1,288,NA
8,1890,346,7.05444965813294,7.72709448477984,7,2003,2,624,NA
5,1910,840,7.02908756414966,7.72179177681754,12,0,0,0,NA
6,1922,738,6.76734312526539,7.29369772060144,6,1970,2,624,NA
5,1950,988,6.93828448401696,7.38585107812521,7,1950,1,363,NA
7,1922,1108,7.05703698169789,7.63482067774554,8,1928,1,315,NA
4,1925,765,6.64118216974059,6.64118216974059,4,1926,1,200,NA
6,1939,608,6.4118182677099,7.03262426102801,5,1939,1,240,NA
6,1940,572,6.74405918631135,7.08757370555797,6,1973,2,576,NA
5,1942,835,6.8627579130514,7.28207365809346,7,1942,1,240,NA
6,1948,780,6.66057514983969,7.25629723969068,6,1948,1,312,NA
5,1936,528,6.30809844150953,6.94793706861497,5,1979,2,624,NA
5,1930,928,6.83410873881384,7.3375877435386,7,1930,2,480,NA
6,1923,1124,6.97447891102505,6.97447891102505,5,1923,1,288,NA
4,1915,888,6.7900972355139,7.58222919427646,9,1915,2,572,NA
6,1912,780,6.66057514983969,7.35308192051543,7,0,0,0,NA
6,1920,662,6.49677499018586,7.18916773842032,6,1920,1,180,NA
5,1959,1422,7.42416528104203,7.42416528104203,8,1959,1,365,NA
5,1917,689,6.5875500148248,7.11069612297883,6,1917,1,180,NA
5,1915,1212,7.10085190894405,7.23921497377981,6,0,0,0,NA
6,1940,600,6.39859493453521,6.82437367004309,5,1940,1,231,NA
4,1907,707,6.84906628263346,7.54168309988211,7,0,0,0,NA
5,1910,856,6.84268328223842,7.42714413340862,7,1910,2,450,NA
4,1967,1832,7.5137092478397,7.5137092478397,8,0,0,0,NA
5,1966,864,6.7945865808765,6.7945865808765,5,1966,1,416,NA
5,1968,864,6.76272950693188,6.76272950693188,4,1969,1,280,NA
5,1978,1319,7.22548147278229,7.22548147278229,5,1978,2,591,NA
5,1968,720,6.58063913728495,7.27309259599952,7,1968,2,480,NA
7,1977,1420,7.30249642372733,7.30249642372733,4,1977,2,690,NA
4,1927,660,6.62936325343745,6.62936325343745,4,1945,2,440,NA
6,1978,1117,7.01929665371504,7.59186171488993,8,1978,2,522,NA
3,1938,972,6.95939851213398,7.38461038317697,8,1938,1,480,NA
6,1950,663,6.98007594056176,6.98007594056176,6,1987,1,467,NA
4,1947,756,7.0647590277918,7.33432935030054,8,1947,1,209,NA
5,1954,1172,7.06731984865348,7.06731984865348,5,1954,1,366,NA
7,2009,1508,7.31920245876785,7.31920245876785,5,2009,2,572,NA
5,1964,1250,7.1693500166706,7.1693500166706,5,1964,2,504,NA
7,1987,1433,7.26822302115957,7.26822302115957,4,1987,2,528,NA
6,1993,946,6.87212810133899,7.49720722320332,8,2000,4,1017,NA
7,2010,1222,7.10906213568717,7.10906213568717,6,2009,2,615,NA
6,1900,676,6.72383244082121,7.27655640271871,6,1957,2,484,NA
5,1996,870,6.87316383421252,6.87316383421252,4,1998,2,580,NA
7,1997,878,6.7945865808765,7.43425738213314,8,1997,2,513,NA
5,1977,1026,6.93439720992856,6.93439720992856,5,1977,1,308,NA
5,1972,876,6.77650699237218,6.77650699237218,5,1977,2,484,NA
8,2003,1978,7.59034694560257,7.59034694560257,8,2003,3,850,NA
7,1997,1040,6.95177216439891,7.64921631982063,9,1997,2,621,NA
6,2003,848,6.74405918631135,6.74405918631135,4,2003,2,420,NA
3,1945,0,6.46302945692067,6.46302945692067,5,1945,1,240,NA
5,1954,381,6.90073066404517,6.90073066404517,6,1954,1,319,NA
5,1968,1196,7.08757370555797,7.08757370555797,6,1968,1,336,NA
4,1948,744,6.67582322163485,7.02197642307216,5,1956,2,480,NA
6,1975,1008,7.00033446027523,7.00033446027523,5,1975,1,352,NA
4,1958,960,6.86797440897029,6.86797440897029,5,0,0,0,NA
5,1924,1107,7.16780918431644,7.16780918431644,5,1979,1,260,NA
6,1939,856,6.75343791859778,6.75343791859778,4,1939,2,399,NA
4,1967,0,6.76041469108343,7.88269220628903,10,0,0,0,NA
5,1931,894,6.79682371827486,7.41878088275079,7,0,0,0,NA
7,1941,1528,7.11151211649616,7.6657534318617,8,1941,1,312,NA
5,1950,1032,7.0057890192535,7.68616230349291,11,1950,2,484,NA
7,1994,423,6.7990558620588,7.41034709782102,6,1994,2,473,NA
8,1989,982,6.94215670569947,6.94215670569947,4,1989,2,598,NA
8,1989,1191,7.0833878476253,7.0833878476253,5,1989,2,531,NA
2,1941,480,6.29341927884648,6.29341927884648,4,1951,1,200,NA
6,1921,629,6.59030104819669,7.01031186730723,5,1950,1,625,NA
4,1896,756,6.8596149036542,6.8596149036542,5,1896,1,330,NA
8,2004,1594,7.40671073017764,7.40671073017764,5,2004,2,525,NA
8,1998,1049,6.94408720822953,7.55851674304564,8,1998,3,741,NA
6,1977,1243,7.15929190479756,7.15929190479756,6,1977,2,473,NA
6,1976,1958,7.6251071482389,7.6251071482389,9,1976,2,776,NA
7,2008,1336,7.20563517641036,7.20563517641036,6,2008,3,660,NA
7,2009,1214,7.10249935577465,7.10249935577465,6,2010,2,520,NA
5,2006,384,6.61338421837956,7.27586460054653,7,2007,2,400,NA
5,1965,1068,7.14282740116162,7.14282740116162,7,1965,2,528,NA
5,2004,1430,7.26612877955645,7.26612877955645,7,2004,2,624,NA
5,1999,1344,7.20414929203594,7.20414929203594,7,2001,2,686,NA
5,1973,945,6.85224256905188,6.85224256905188,5,1973,1,253,NA
4,1970,546,6.30444880242198,6.99668148817654,5,0,0,0,NA
4,1970,546,6.30444880242198,6.99668148817654,5,0,0,0,NA
4,1972,546,6.30444880242198,6.99668148817654,5,1972,1,286,NA
5,1971,864,6.77422388635761,6.77422388635761,5,1971,1,352,NA
5,1984,833,6.72623340235875,6.72623340235875,5,1984,2,495,NA
5,1985,1216,7.10414409298753,7.79688034278352,10,1985,2,616,NA
5,1991,624,6.4377516497364,7.15070145759253,6,1993,2,576,NA
5,1969,864,6.76272950693188,7.29979736675816,8,1969,1,275,NA
8,1994,1679,7.49776170062257,7.49776170062257,6,1994,2,482,NA
6,1993,1152,7.05012252026906,7.49443021503157,7,1993,2,616,NA
6,1956,882,6.78332520060396,6.78332520060396,5,1956,1,502,NA
6,1974,1434,7.26892012819372,7.26892012819372,7,1974,2,528,NA
6,1997,945,6.85224256905188,7.38336814699238,7,1997,2,470,NA
8,2003,1008,6.91671502035361,7.7336835707759,9,2003,3,632,NA
7,1996,384,6.86589107488344,7.39572160860205,7,1996,2,390,NA
8,2004,2208,7.83320394864106,7.83320394864106,8,2004,2,564,NA
8,1998,1418,7.2991214627108,7.2991214627108,5,1998,2,495,NA
8,1995,1587,7.45876269238096,7.45876269238096,6,1995,2,528,NA
7,1998,384,6.62273632394984,7.23201033166476,7,1998,2,396,NA
6,1998,952,6.8596149036542,7.40062057737113,7,1998,2,440,NA
6,1994,707,6.56244409369372,7.32448997934853,7,1994,2,409,NA
6,1993,1181,7.0825485693553,7.0825485693553,6,1993,2,430,NA
5,1977,1122,6.85329909318608,7.56786260546388,6,1977,2,567,NA
7,1978,832,7.05185562295589,7.62608275807238,8,1978,2,529,NA
6,1978,1427,7.42177579364465,7.42177579364465,7,1978,2,484,NA
7,1980,1043,7.33953769540767,7.89133075766189,9,1980,2,441,NA
6,1978,1140,7.44307837434852,7.44307837434852,7,1978,2,479,NA
7,2003,926,6.92461239604856,7.54168309988211,7,2003,2,581,NA
8,2000,1058,6.96508034560141,7.53636393840451,7,2000,2,588,NA
8,2002,972,6.880384082186,7.50218648660292,7,2002,2,565,NA
5,1975,1621,7.39141523467536,7.39141523467536,7,1975,2,478,NA
6,1974,1116,7.0184017990692,7.0184017990692,6,1974,2,528,NA
7,1975,1176,7.08506429395255,7.08506429395255,5,1975,2,506,NA
5,1970,1180,7.07411681619736,7.07411681619736,6,1970,2,477,NA
5,1971,1043,6.95749737087695,6.95749737087695,6,1971,1,336,NA
4,1970,864,6.76272950693188,6.76272950693188,5,2001,2,576,NA
4,1971,864,6.76272950693188,6.76272950693188,5,1986,2,576,NA
6,1973,483,6.18208490671663,6.89568269774787,5,1973,1,264,NA
6,1972,483,6.18208490671663,6.89568269774787,5,1972,1,288,NA
6,1976,804,6.69084227741856,7.34536484041687,7,1976,2,440,NA
7,1975,1057,6.96224346426621,6.96224346426621,4,1975,2,440,NA
6,1977,855,6.75227037614174,7.2841348061952,6,1977,2,440,NA
6,1978,804,6.69084227741856,7.34536484041687,7,1978,2,440,NA
6,1978,855,6.75227037614174,7.2841348061952,6,1978,2,440,NA
7,1976,836,6.72982407048948,6.72982407048948,5,1976,1,345,NA
5,1966,864,7.02197642307216,7.02197642307216,5,1966,2,656,NA
9,2007,1776,7.49276030092238,7.92768504561578,10,2007,3,754,NA
9,2009,1365,7.21964204013074,7.89766815072691,8,2009,3,864,NA
9,2008,2020,7.61134771740362,7.61134771740362,7,2008,3,896,NA
10,2007,2630,7.89170465933011,7.89170465933011,8,2007,3,762,NA
9,2008,1736,7.4599147662411,7.4599147662411,7,2008,3,834,NA
8,2004,1782,7.48605261786314,7.48605261786314,7,2004,3,932,NA
8,2007,1508,7.31920245876785,7.83241092718792,10,2007,3,640,NA
9,2008,1739,7.46393660446893,7.46393660446893,8,2008,3,927,NA
9,2006,1504,7.33432935030054,7.33432935030054,6,2006,3,700,NA
9,2008,1774,7.50052948539529,7.50052948539529,7,2008,3,850,NA
7,2003,1760,7.47363710849621,7.47363710849621,8,2003,2,583,NA
9,2003,2452,7.80506704425849,7.80506704425849,10,2003,3,886,NA
8,2003,1082,7.00850518208228,7.78364059622125,10,2003,3,730,NA
8,2006,1598,7.38212436573751,7.38212436573751,6,2006,3,871,NA
6,2005,1358,7.21450441415114,7.21450441415114,6,2005,2,484,NA
6,2005,1306,7.17548971362422,7.17548971362422,5,2005,2,624,NA
7,2007,1350,7.21450441415114,7.21450441415114,6,2008,2,484,NA
10,2004,2492,7.82124208352356,7.82124208352356,8,2004,3,949,NA
8,2003,2200,7.69666708152646,7.69666708152646,8,2003,3,685,NA
9,2008,1884,7.54168309988211,7.54168309988211,6,2008,2,649,NA
9,2008,1451,7.2841348061952,7.2841348061952,6,2008,2,539,NA
8,2002,1712,7.44600149832412,7.44600149832412,8,2002,3,701,NA
7,2003,1405,7.24850407237061,7.24850407237061,6,2003,2,478,NA
7,2005,728,6.59167373200866,7.2841348061952,8,2005,2,390,NA
6,2005,745,6.61472560020376,7.30720231476474,7,2005,2,392,NA
7,2005,1220,7.1074254741107,7.1074254741107,5,2005,2,397,NA
7,2004,384,6.61338421837956,7.22620901010067,6,2004,2,400,NA
7,2004,868,6.76734312526539,7.39694860262101,7,2004,2,436,NA
7,2004,846,6.74170069465205,7.37462901521894,7,2004,2,434,NA
7,2003,782,6.69332366826995,7.30653139893951,8,2003,2,400,NA
7,2003,698,6.54965074223381,7.20266119652324,7,2003,2,393,NA
8,2002,870,6.77878489768518,7.60339933974067,8,2002,3,644,NA
7,2004,384,6.61338421837956,7.22620901010067,7,2004,2,400,NA
6,2000,794,6.7093043402583,7.32317071794347,7,2000,2,394,NA
7,1999,384,6.65286302935335,7.26612877955645,7,1999,2,400,NA
7,1999,1177,7.10987946307227,7.74630066223144,8,1999,3,658,NA
7,1999,384,6.65286302935335,7.26612877955645,7,1999,2,410,NA
8,2000,1455,7.29097477814298,7.89655270164304,10,2000,3,810,NA
8,1994,2024,7.63240112660145,7.63240112660145,7,1994,3,815,NA
7,1995,1070,6.9985096422506,7.63143166457691,7,1995,2,647,NA
8,1993,1173,7.10332206252611,7.71110125184016,8,1993,2,623,NA
8,2008,1696,7.43661726523423,7.43661726523423,7,2008,3,972,NA
8,2008,1614,7.41397029019044,7.41397029019044,7,2008,3,726,NA
8,2007,1702,7.44014668066269,7.44014668066269,7,2007,3,844,NA
8,2006,1422,7.26752542782817,7.26752542782817,7,2006,2,492,NA
9,2005,2458,7.82043951526218,7.82043951526218,9,2005,3,795,NA
7,2008,1436,7.27031288607902,7.27031288607902,6,2008,2,529,NA
7,2008,1402,7.24636808010246,7.24636808010246,7,2008,2,625,NA
9,2007,1530,7.33367639565768,7.33367639565768,7,2008,3,984,NA
8,2006,1372,7.27862894232068,7.27862894232068,6,2006,2,692,NA
8,2006,900,6.8134445995109,7.49331724886215,8,2006,3,782,NA
8,2008,1836,7.51588908521513,7.51588908521513,8,2009,2,517,NA
7,2006,1652,7.41637847919293,7.41637847919293,8,2006,3,711,NA
7,2003,1553,7.34858753092759,7.34858753092759,6,2003,2,588,NA
7,2003,812,6.70073110954781,7.41095187558364,6,2003,2,628,NA
7,2007,1218,7.10578612948127,7.10578612948127,6,2007,2,576,NA
7,2006,1141,7.04053639021596,7.04053639021596,6,2006,2,484,NA
6,2004,1158,7.05531284333975,7.05531284333975,5,0,0,0,NA
7,2004,835,6.77078942390898,7.50273821075485,8,2004,2,478,NA
8,2004,1512,7.32184971378836,7.32184971378836,6,2004,3,845,NA
7,2004,1114,7.01660968389422,7.01660968389422,6,2005,2,576,NA
5,2004,1114,7.01660968389422,7.01660968389422,6,0,0,0,NA
5,2003,1114,7.01660968389422,7.01660968389422,6,2004,2,576,NA
7,2008,1450,7.28000825288419,7.28000825288419,6,2008,3,788,NA
7,1996,913,6.81783057145415,7.66058546170326,8,1997,2,559,NA
6,1992,816,6.72623340235875,7.45645455517621,6,1992,2,528,NA
6,1990,1332,7.19518732017871,7.19518732017871,5,1990,2,542,NA
7,1994,754,6.62671774924902,7.34018683532012,6,1994,2,495,NA
6,1986,676,6.54965074223381,7.24494154633701,6,1986,2,465,NA
6,1981,0,6.87212810133899,7.54062152865715,8,1981,2,612,NA
5,1962,980,6.88857245956536,6.88857245956536,5,1969,2,400,NA
5,1961,864,6.76272950693188,6.76272950693188,5,1982,2,732,NA
5,1961,864,6.76272950693188,6.76272950693188,5,1961,1,440,NA
5,1965,1024,6.92853781816467,6.92853781816467,5,1965,1,288,NA
5,1963,912,6.81673588059497,6.81673588059497,6,1963,1,300,NA
5,1962,912,6.81673588059497,6.81673588059497,6,1962,1,252,NA
8,1980,2014,7.60837447438078,7.60837447438078,6,1980,3,864,NA
7,1991,975,6.88346258641309,7.47079377419506,7,1991,2,524,NA
7,2004,1376,7.22766249872865,8.00836557031292,9,2004,3,704,NA
6,2008,1726,7.45414107814668,7.45414107814668,6,2008,2,561,NA
6,2008,1145,7.13648320859025,7.13648320859025,5,2008,2,641,NA
6,2000,756,6.62936325343745,7.32184971378836,4,2000,2,440,NA
7,1999,691,6.57088296233958,7.28138566357028,6,1999,2,506,NA
8,1977,1694,7.43543801981455,7.43543801981455,5,1977,2,642,NA
7,1981,1740,7.46221493976819,7.46221493976819,7,1981,2,540,NA
8,1976,392,7.30518821539304,7.82404601085629,5,1976,2,527,NA
7,1974,752,7.15929190479756,7.63433723562832,7,1974,2,784,NA
6,1967,932,7.14834574390007,7.87891291229713,8,1967,2,515,NA
5,1969,1288,7.19818357710194,7.19818357710194,6,1969,2,502,NA
6,1969,1216,7.10414409298753,7.10414409298753,5,1969,1,336,NA
7,1977,908,7.18311170174328,7.73587031995257,8,1977,2,520,NA
5,1967,864,6.76272950693188,6.76272950693188,5,1967,1,312,NA
5,1967,1568,7.35819375273303,7.35819375273303,7,1967,2,440,NA
7,1974,1165,7.06133436691044,7.63143166457691,8,1974,2,498,NA
6,1971,1232,7.18614430452233,7.18614430452233,5,1971,2,495,NA
4,1960,894,6.79682371827486,6.79682371827486,5,1988,2,396,NA
5,1959,864,6.76272950693188,6.76272950693188,5,1960,1,308,NA
4,1957,1040,7.21744343169653,7.21744343169653,6,1982,3,768,NA
5,1956,1048,7.45529848568329,7.45529848568329,7,1956,2,576,NA
5,1961,1313,7.18083119904456,7.18083119904456,6,1961,2,610,NA
5,1964,1292,7.16472037877186,7.16472037877186,6,1964,2,520,NA
5,1965,744,6.71659477352098,7.66902828858968,7,1965,2,549,NA
6,1961,1208,7.36327958696304,7.36327958696304,7,1961,2,368,NA
5,1955,960,6.86797440897029,6.86797440897029,5,1955,1,330,NA
6,1967,1680,7.43366654016617,7.43366654016617,5,1967,2,550,NA
6,1961,1453,7.28207365809346,7.28207365809346,6,1961,2,530,NA
6,1966,1562,7.35755620091035,7.35755620091035,5,1966,2,542,NA
5,1956,1169,7.04315991598834,7.04315991598834,6,1956,1,286,NA
7,1960,1329,7.1929342212158,7.1929342212158,5,1960,2,441,NA
6,1959,988,6.89669433162271,6.89669433162271,6,1959,1,297,NA
5,1956,1202,7.09257371597468,7.09257371597468,6,1956,1,304,NA
5,1955,1382,7.23201033166476,7.23201033166476,6,1955,1,350,NA
4,1956,1200,7.09090982207998,7.09090982207998,6,1956,1,294,NA
5,1958,1866,7.53208814354172,7.53208814354172,8,1958,2,495,NA
6,1954,1062,6.96885037834195,6.96885037834195,6,1954,1,297,NA
5,1951,631,7.01481435127554,7.01481435127554,5,1951,2,480,NA
5,1945,793,6.67708346124714,6.67708346124714,4,1945,1,240,NA
5,1952,1031,6.93925394604151,6.93925394604151,5,1952,1,230,NA
5,1953,0,7.09920174355309,7.09920174355309,7,1953,1,616,NA
7,1948,699,6.68710860786651,7.33171496972647,6,1948,2,410,NA
5,1950,1200,7.09090982207998,7.09090982207998,6,1950,1,246,NA
3,1958,792,6.67582322163485,6.67582322163485,4,1958,1,366,NA
5,1939,676,6.51767127291227,7.21007962817079,7,1939,2,720,NA
4,1900,405,6.57646956904822,6.94697599213542,6,1940,1,281,NA
5,1925,1054,6.98378996525813,6.98378996525813,6,1987,1,264,NA
4,1915,1313,7.18083119904456,7.77401507725073,8,1954,2,528,NA
7,1910,560,6.83625927727707,7.43307534889858,5,2008,2,624,NA
2,1940,416,6.39692965521615,6.39692965521615,4,0,0,0,NA
5,1920,720,6.74170069465205,6.74170069465205,4,1980,2,576,NA
3,1890,630,6.5875500148248,6.5875500148248,4,1959,1,320,NA
6,1969,1248,7.13009851012558,7.84188592898462,12,1969,3,907,NA
6,1963,1380,7.23056315340929,7.23056315340929,6,1963,1,364,NA
6,1967,1040,6.94793706861497,6.94793706861497,6,1967,2,480,NA
6,1958,951,6.85856503479136,6.85856503479136,6,1985,2,480,NA
6,1957,1105,7.00850518208228,7.00850518208228,5,1957,1,308,NA
6,1958,160,7.04141166379481,7.04141166379481,5,1958,1,384,NA
6,1950,795,6.64118216974059,7.0335064842877,5,1989,2,900,NA
5,1958,1041,6.94889722231331,6.94889722231331,6,1958,1,294,NA
5,1952,732,6.59714570188665,6.59714570188665,4,1952,1,240,NA
5,1959,528,7.07665381544395,7.07665381544395,6,1959,1,288,NA
4,1949,832,6.72503364216684,7.28756064030972,6,1949,1,384,NA
6,1948,864,6.97073007814353,7.31055015853442,6,1994,2,576,NA
6,1964,780,6.90173720665657,7.49942329059223,8,1964,2,483,NA
5,1978,941,6.84800527457636,6.84800527457636,4,1978,2,564,NA
6,1963,1045,6.95272864462487,6.95272864462487,6,1963,1,264,NA
6,1935,901,6.75925527066369,7.2291138777933,6,1920,1,162,NA
6,1910,972,6.880384082186,7.57301725605255,12,1920,2,324,NA
5,1910,240,6.69826805411541,7.17548971362422,6,1959,2,472,NA
5,1910,504,6.63987583382654,7.28961052145117,7,0,0,0,NA
5,1939,690,6.76734312526539,7.35179986905778,7,1939,2,400,NA
4,1920,600,7.00488198971286,7.43955930913332,8,0,0,0,NA
5,1910,801,6.68710860786651,7.27793857294566,6,0,0,0,NA
5,1950,768,6.64509096950564,7.19218205871325,6,1950,1,308,NA
4,1920,861,6.75925527066369,6.75925527066369,5,1920,2,288,NA
2,1940,0,6.41836493593621,6.41836493593621,4,1965,1,308,NA
5,1923,624,6.67582322163485,6.67582322163485,5,1963,1,287,NA
4,1910,677,6.72623340235875,7.32052696227274,7,1974,2,720,NA
6,1900,917,6.99484998583307,7.60489448081162,8,1930,1,357,NA
6,1917,624,6.49978704065585,7.16162200293919,5,1917,1,280,NA
4,1910,624,6.70563909486,6.70563909486,5,0,0,0,NA
6,1920,972,6.95177216439891,7.3004728142678,6,1920,1,207,NA
6,1910,741,6.66057514983969,7.32778053842163,8,1950,3,640,NA
3,1900,245,6.68210859744981,6.68210859744981,5,0,0,0,NA
6,1923,1022,7.26752542782817,7.26752542782817,6,1923,1,216,NA
5,1930,297,6.90975328164481,7.41155628781116,7,1955,1,336,NA
5,1924,468,6.71295620067707,7.04141166379481,6,1924,1,320,NA
5,1925,960,6.9037472575846,6.9037472575846,5,1926,1,264,NA
5,1938,952,6.90274273715859,7.36707705988101,6,1938,1,250,NA
5,1925,1072,6.9782137426307,6.9782137426307,5,1982,5,1184,NA
6,1915,1048,6.9555926083963,7.47816969415979,8,1930,2,576,NA
7,1915,672,7.14913159855741,7.57301725605255,8,1915,1,216,NA
5,1922,1040,6.99301512293296,7.66340766489348,11,0,0,0,NA
6,1927,720,7.04490511712937,7.56579328242851,8,1927,1,316,NA
6,1915,483,6.60934924316738,7.26403014289953,7,1915,1,379,NA
7,1902,1020,6.88653164253051,7.53101633207792,9,0,0,0,NA
6,1927,1204,7.09423484592476,7.41878088275079,4,1927,1,384,NA
4,1923,858,6.7945865808765,6.7945865808765,5,0,0,0,NA
6,1915,698,6.62671774924902,7.24708058458576,7,1915,1,308,NA
4,1946,560,6.55819780281227,6.55819780281227,4,1946,1,220,NA
5,1987,1200,7.09090982207998,7.09090982207998,5,0,0,0,NA
5,1978,1152,7.05012252026906,7.05012252026906,6,1960,1,252,NA
5,1934,585,6.53378883793334,7.01481435127554,6,1934,1,226,NA
5,1967,1052,6.95939851213398,6.95939851213398,6,1984,1,668,NA
6,1978,456,6.94215670569947,6.94215670569947,5,1978,2,504,NA
5,1961,552,6.80793494369993,7.48155570190952,8,1961,1,384,NA
6,1960,1138,7.03790596344718,7.03790596344718,6,1960,2,480,NA
5,1956,825,7.63626960337937,7.63626960337937,9,1956,1,336,NA
2,1947,0,6.49375383985169,6.49375383985169,5,0,0,0,NA
4,1954,0,7.23273313617761,7.23273313617761,6,1980,2,498,NA
5,1956,1073,6.97914527506881,6.97914527506881,5,1956,1,340,NA
